,predicted_mean
75067,-18.29618286697959
75068,-18.296137281064233
75069,-18.296091970094384
75070,-18.296046932411738
75071,-18.296002166368005
75072,-18.295957670324825
75073,-18.295913442653728
75074,-18.295869481736062
75075,-18.29582578596294
75076,-18.295782353735174
75077,-18.295739183463226
75078,-18.295696273567145
75079,-18.295653622476507
75080,-18.29561122863036
75081,-18.29556909047717
75082,-18.295527206474752
75083,-18.295485575090236
75084,-18.295444194799988
75085,-18.295403064089562
75086,-18.295362181453655
75087,-18.295321545396032
75088,-18.295281154429492
75089,-18.295241007075802
75090,-18.29520110186564
75091,-18.29516143733855
75092,-18.295122012042885
75093,-18.295082824535747
75094,-18.295043873382948
75095,-18.295005157158947
75096,-18.294966674446805
75097,-18.294928423838122
75098,-18.294890403933
75099,-18.294852613339973
75100,-18.294815050675982
75101,-18.2947777145663
75102,-18.2947406036445
75103,-18.29470371655238
75104,-18.29466705193995
75105,-18.294630608465347
75106,-18.29459438479481
75107,-18.294558379602616
75108,-18.294522591571045
75109,-18.29448701939032
75110,-18.29445166175856
75111,-18.29441651738175
75112,-18.294381584973667
75113,-18.294346863255846
75114,-18.29431235095754
75115,-18.29427804681566
75116,-18.29424394957474
75117,-18.29421005798688
75118,-18.294176370811712
75119,-18.294142886816353
75120,-18.29410960477534
75121,-18.294076523470622
75122,-18.294043641691477
75123,-18.294010958234495
75124,-18.29397847190352
75125,-18.293946181509618
75126,-18.293914085871016
75127,-18.29388218381307
75128,-18.29385047416823
75129,-18.29381895577598
75130,-18.293787627482796
75131,-18.293756488142133
75132,-18.29372553661434
75133,-18.29369477176665
75134,-18.29366419247313
75135,-18.29363379761463
75136,-18.293603586078753
75137,-18.293573556759817
75138,-18.293543708558804
75139,-18.29351404038332
75140,-18.29348455114757
75141,-18.2934552397723
75142,-18.293426105184768
75143,-18.293397146318704
75144,-18.29336836211426
75145,-18.293339751517994
75146,-18.293311313482807
75147,-18.29328304696792
75148,-18.293254950938834
75149,-18.293227024367283
75150,-18.29319926623121
75151,-18.29317167551471
75152,-18.293144251208023
75153,-18.29311699230746
75154,-18.293089897815406
75155,-18.293062966740248
75156,-18.293036198096356
75157,-18.29300959090405
75158,-18.292983144189552
75159,-18.29295685698497
75160,-18.29293072832823
75161,-18.292904757263077
75162,-18.292878942839017
75163,-18.29285328411129
75164,-18.292827780140833
75165,-18.292802429994246
75166,-18.292777232743763
75167,-18.292752187467215
75168,-18.29272729324798
75169,-18.292702549174987
75170,-18.292677954342643
75171,-18.292653507850822
75172,-18.29262920880483
75173,-18.292605056315367
75174,-18.29258104949849
75175,-18.2925571874756
75176,-18.292533469373392
75177,-18.29250989432382
75178,-18.29248646146409
75179,-18.292463169936596
75180,-18.292440018888914
75181,-18.292417007473755
75182,-18.292394134848948
75183,-18.292371400177394
75184,-18.29234880262705
75185,-18.29232634137088
75186,-18.292304015586847
75187,-18.292281824457874
75188,-18.292259767171796
75189,-18.292237842921367
75190,-18.292216050904194
75191,-18.29219439032273
75192,-18.29217286038424
