Date/Time,vibration (mm/s)
2024-04-03 08:54:00,0.3
2024-04-03 08:55:00,0.3
2024-04-03 08:56:00,0.3
2024-04-03 09:09:00,0.3
2024-04-03 09:10:00,0.4
2024-04-03 09:11:00,0.4
2024-04-03 09:12:00,0.4
2024-04-03 09:13:00,0.3
2024-04-03 09:14:00,0.3
2024-04-03 09:15:00,0.3
2024-04-03 09:16:00,0.3
2024-04-03 09:17:00,0.3
2024-04-03 09:18:00,0.3
2024-04-03 09:19:00,0.3
2024-04-03 11:33:00,0.4
2024-04-03 11:34:00,0.4
2024-04-03 11:35:00,0.4
2024-04-03 11:48:00,0.7
2024-04-03 11:49:00,0.4
2024-04-03 11:50:00,0.8
2024-04-03 13:57:00,0.4
2024-04-03 21:41:00,0.3
2024-04-03 21:42:00,0.3
2024-04-04 10:49:00,0.3
2024-04-04 10:50:00,0.4
2024-04-04 10:51:00,0.4
2024-04-04 10:52:00,0.4
2024-04-04 10:53:00,0.3
2024-04-04 11:06:00,1.4
2024-04-04 11:20:00,0.3
2024-04-04 11:21:00,0.3
2024-04-04 11:22:00,0.3
2024-04-04 11:23:00,0.4
2024-04-04 11:24:00,0.3
2024-04-04 11:25:00,0.3
2024-04-04 11:26:00,0.3
2024-04-04 11:27:00,0.3
2024-04-04 11:28:00,0.3
2024-04-04 11:29:00,0.3
2024-04-04 11:30:00,0.3
2024-04-04 11:31:00,0.3
2024-04-04 11:32:00,0.3
2024-04-04 11:33:00,0.3
2024-04-04 11:34:00,0.3
2024-04-04 11:35:00,0.4
2024-04-04 11:36:00,0.4
2024-04-04 11:37:00,0.4
2024-04-04 11:38:00,0.4
2024-04-04 11:39:00,0.4
2024-04-04 11:40:00,0.4
2024-04-04 11:41:00,0.4
2024-04-04 11:42:00,0.4
2024-04-04 11:43:00,0.4
2024-04-04 11:44:00,0.4
2024-04-04 11:45:00,0.4
2024-04-04 11:46:00,0.4
2024-04-04 11:47:00,0.4
2024-04-04 11:48:00,0.4
2024-04-04 11:49:00,0.4
2024-04-04 11:50:00,0.4
2024-04-04 11:51:00,0.4
2024-04-04 11:52:00,0.4
2024-04-04 11:53:00,0.4
2024-04-04 11:54:00,0.4
2024-04-04 11:55:00,0.4
2024-04-04 11:56:00,0.4
2024-04-04 11:57:00,0.4
2024-04-04 11:58:00,0.4
2024-04-04 11:59:00,0.4
2024-04-04 12:00:00,0.5
2024-04-04 12:01:00,0.5
2024-04-04 12:02:00,0.5
2024-04-04 12:03:00,0.5
2024-04-04 12:04:00,0.5
2024-04-04 12:05:00,0.5
2024-04-04 12:06:00,0.5
2024-04-04 12:07:00,0.5
2024-04-04 12:08:00,0.5
2024-04-04 12:09:00,0.5
2024-04-04 12:10:00,0.5
2024-04-04 12:11:00,0.5
2024-04-04 12:12:00,0.5
2024-04-04 12:13:00,0.5
2024-04-04 12:14:00,0.5
2024-04-04 12:15:00,0.5
2024-04-04 12:16:00,0.5
2024-04-04 12:17:00,0.5
2024-04-04 12:18:00,0.5
2024-04-04 12:19:00,0.5
2024-04-04 12:20:00,0.5
2024-04-04 12:21:00,0.5
2024-04-04 12:22:00,0.5
2024-04-04 12:23:00,0.5
2024-04-04 12:24:00,0.5
2024-04-04 12:25:00,0.5
2024-04-04 12:26:00,0.5
2024-04-04 12:27:00,0.5
2024-04-04 12:28:00,0.5
2024-04-04 12:29:00,0.5
2024-04-04 12:30:00,0.5
2024-04-04 12:31:00,0.5
2024-04-04 12:32:00,0.5
2024-04-04 12:33:00,0.5
2024-04-04 12:34:00,0.5
2024-04-04 12:35:00,0.5
2024-04-04 12:36:00,0.5
2024-04-04 12:37:00,0.5
2024-04-04 12:38:00,0.5
2024-04-04 12:39:00,0.5
2024-04-04 12:40:00,0.5
2024-04-04 12:41:00,0.5
2024-04-04 12:42:00,0.5
2024-04-04 12:43:00,0.5
2024-04-04 12:44:00,0.5
2024-04-04 12:45:00,0.5
2024-04-04 12:46:00,0.5
2024-04-04 12:47:00,0.5
2024-04-04 12:48:00,0.5
2024-04-04 12:49:00,0.5
2024-04-04 12:50:00,0.5
2024-04-04 12:51:00,0.5
2024-04-04 12:52:00,0.5
2024-04-04 12:53:00,0.5
2024-04-04 12:54:00,0.5
2024-04-04 12:55:00,0.5
2024-04-04 12:56:00,0.5
2024-04-04 12:57:00,0.5
2024-04-04 12:58:00,0.5
2024-04-04 12:59:00,0.5
2024-04-04 13:00:00,0.5
2024-04-04 13:01:00,0.5
2024-04-04 13:02:00,0.5
2024-04-04 13:03:00,0.5
2024-04-04 13:04:00,0.5
2024-04-04 13:05:00,0.5
2024-04-04 13:06:00,0.5
2024-04-04 13:07:00,0.5
2024-04-04 13:08:00,0.5
2024-04-04 13:09:00,0.5
2024-04-04 13:10:00,0.5
2024-04-04 13:11:00,0.5
2024-04-04 13:12:00,0.5
2024-04-04 13:13:00,0.5
2024-04-04 13:14:00,0.5
2024-04-04 13:15:00,0.5
2024-04-04 13:16:00,0.5
2024-04-04 13:17:00,0.5
2024-04-04 13:18:00,0.5
2024-04-04 13:19:00,0.5
2024-04-04 13:20:00,0.5
2024-04-04 13:21:00,0.5
2024-04-04 13:22:00,0.5
2024-04-04 13:23:00,0.5
2024-04-04 13:24:00,0.5
2024-04-04 13:25:00,0.5
2024-04-04 13:26:00,0.5
2024-04-04 13:27:00,0.5
2024-04-04 13:28:00,0.5
2024-04-04 14:07:00,0.5
2024-04-04 14:08:00,0.4
2024-04-04 14:09:00,0.3
2024-04-04 14:10:00,0.5
2024-04-04 14:29:00,0.3
2024-04-04 14:30:00,0.4
2024-04-04 14:31:00,0.4
2024-04-04 14:32:00,0.4
2024-04-04 14:33:00,0.3
2024-04-04 14:34:00,0.3
2024-04-04 14:35:00,0.3
2024-04-04 14:36:00,0.3
2024-04-04 14:37:00,0.3
2024-04-04 14:38:00,0.3
2024-04-04 14:39:00,0.3
2024-04-04 14:40:00,0.3
2024-04-04 14:41:00,0.3
2024-04-04 14:42:00,0.3
2024-04-04 14:43:00,0.3
2024-04-04 14:44:00,0.3
2024-04-04 14:45:00,0.3
2024-04-04 14:46:00,0.3
2024-04-04 14:47:00,0.3
2024-04-04 14:48:00,0.3
2024-04-04 14:49:00,0.4
2024-04-04 14:50:00,0.4
2024-04-04 14:51:00,0.4
2024-04-04 15:16:00,0.6
2024-04-04 22:09:00,0.4
2024-04-04 22:10:00,0.4
2024-04-04 22:11:00,0.4
2024-04-04 22:12:00,0.4
2024-04-04 22:13:00,0.3
2024-04-04 22:14:00,0.3
2024-04-05 08:05:00,0.3
2024-04-05 08:06:00,0.3
2024-04-05 08:07:00,0.7
2024-04-07 15:20:00,0.4
